Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
0873.HK,SHIMAO SERVICES,Properties & Construction,HKG,HKD,4.2,10.366313472
0884.HK,CIFI HOLD GP,Properties & Construction,HKG,HKD,3.33,29.248188416
0914.HK,CONCH CEMENT,Properties & Construction,HKG,HKD,34.45,194.97975808
0960.HK,LONGFOR GROUP,Properties & Construction,HKG,HKD,37.5,227.786637312
1030.HK,SEAZEN,Properties & Construction,HKG,HKD,3.28,21.338826752
1098.HK,ROAD KING INFRA,Properties & Construction,HKG,HKD,6.18,4.630902784
1109.HK,CHINA RES LAND,Properties & Construction,HKG,HKD,34.5,246.017425408
1113.HK,CK ASSET,Properties & Construction,HKG,HKD,52.65,191.77816064
1176.HK,ZHUGUANG HOLD,Properties & Construction,HKG,HKD,1.2,8.670756864
1186.HK,CHINA RAIL CONS,Properties & Construction,HKG,HKD,5.13,117.030690816
1209.HK,CHINA RES MIXC,Properties & Construction,HKG,HKD,38.3,87.419748352
1233.HK,TIMES CHINA,Properties & Construction,HKG,HKD,2.24,4.708077056
1238.HK,POWERLONG,Properties & Construction,HKG,HKD,2.02,8.363608064
1313.HK,CHINARES CEMENT,Properties & Construction,HKG,HKD,5.88,41.059688448
1387.HK,CHINA DILI,Properties & Construction,HKG,HKD,1.82,16.191248384
1516.HK,SUNAC SERVICES,Properties & Construction,HKG,HKD,4.03,12.319065088
1589.HK,CNLP,Properties & Construction,HKG,HKD,4.34,15.078375424
1622.HK,REDCO GROUP,Properties & Construction,HKG,HKD,1.95,6.92563968
1628.HK,YUZHOU GROUP,Properties & Construction,HKG,HKD,0.455,2.977479168
1638.HK,KAISA GROUP,Properties & Construction,HKG,HKD,0.84,5.891457536
1668.HK,CHINASOUTHCITY,Properties & Construction,HKG,HKD,0.65,7.437234176
1755.HK,S-ENJOY SERVICE,Properties & Construction,HKG,HKD,8.28,7.204709376
1800.HK,CHINA COMM CONS,Properties & Construction,HKG,HKD,4.39,151.783817216
1813.HK,KWG GROUP,Properties & Construction,HKG,HKD,2.36,7.513083392
1908.HK,C&D INTL GROUP,Properties & Construction,HKG,HKD,17.26,25.16197376
1918.HK,SUNAC,Properties & Construction,HKG,HKD,4.58,24.955871232
1966.HK,CHINA SCE GROUP,Properties & Construction,HKG,HKD,1.13,4.771006976
1972.HK,SWIREPROPERTIES,Properties & Construction,HKG,HKD,19.9,116.41499648
1995.HK,CIFI ES SERVICE,Properties & Construction,HKG,HKD,8.46,14.83029504
1996.HK,RSUN PPT,Properties & Construction,HKG,HKD,2.39,7.963337216
1997.HK,WHARF REIC,Properties & Construction,HKG,HKD,37.05,112.483794944
2007.HK,COUNTRY GARDEN,Properties & Construction,HKG,HKD,4.76,110.186389504
2019.HK,DEXIN CHINA,Properties & Construction,HKG,HKD,2.51,6.780363264
2048.HK,E-HOUSE ENT,Properties & Construction,HKG,HKD,0.74,1.294304384
2128.HK,CHINA LESSO,Properties & Construction,HKG,HKD,10.44,32.38926336
2202.HK,CHINA VANKE,Properties & Construction,HKG,HKD,17.16,259.682271232
2233.HK,WESTCHINACEMENT,Properties & Construction,HKG,HKD,1.07,5.819601408
2599.HK,SHINSUN HOLD GP,Properties & Construction,HKG,HKD,0.54,1.643436032
2669.HK,CHINA OVS PPT,Properties & Construction,HKG,HKD,8.79,28.891500544
2768.HK,JIAYUAN INTL,Properties & Construction,HKG,HKD,0.375,1.841186304
2772.HK,ZHONGLIANG HLDG,Properties & Construction,HKG,HKD,1.93,6.912854528
2777.HK,R&F PROPERTIES,Properties & Construction,HKG,HKD,2.61,9.793685504
2778.HK,CHAMPION REIT,Properties & Construction,HKG,HKD,3.72,22.085937152
2869.HK,GREENTOWN SER,Properties & Construction,HKG,HKD,7.98,25.89103104
3301.HK,RONSHINECHINA,Properties & Construction,HKG,HKD,2.03,3.417362944
3311.HK,CHINA STATE CON,Properties & Construction,HKG,HKD,9.18,46.24535552
3319.HK,A-LIVING,Properties & Construction,HKG,HKD,12.22,17.352400896
3323.HK,CNBM,Properties & Construction,HKG,HKD,8.32,71.10230016
3333.HK,EVERGRANDE,Properties & Construction,HKG,HKD,1.65,21.78709504
3377.HK,SINO-OCEAN GP,Properties & Construction,HKG,HKD,1.36,10.328315904
3380.HK,LOGAN GROUP,Properties & Construction,HKG,HKD,2.18,12.402914304
3383.HK,AGILE GROUP,Properties & Construction,HKG,HKD,3.2,12.534560768
3883.HK,CHINA AOYUAN,Properties & Construction,HKG,HKD,1.18,3.499372544
3900.HK,GREENTOWN CHINA,Properties & Construction,HKG,HKD,13.12,32.725479424
3913.HK,KWG LIVING,Properties & Construction,HKG,HKD,2.38,4.80072192
